市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,116,竜南中学校,熊本県熊本市中央区坪井4-16-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.817869,130.715085,
43100,熊本県熊本市,117,坪井中央公園,熊本県熊本市中央区坪井6-13,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.82008,130.717069,
43100,熊本県熊本市,118,渡鹿公園,熊本県熊本市中央区渡鹿1-15,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.80634,130.732673,
43100,熊本県熊本市,119,託麻原小学校,熊本県熊本市中央区渡鹿2-3-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.803944,130.735808,
43100,熊本県熊本市,120,家族葬のファミーユ（とろくホール）,熊本県熊本市中央区渡鹿3-11-3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.80758,130.7387,
43100,熊本県熊本市,121,西山中学校,熊本県熊本市中央区島崎1-27-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.803535,130.692925,
43100,熊本県熊本市,122,二の丸公園,熊本県熊本市中央区二の丸2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.80658634,130.7020272,
43100,熊本県熊本市,123,熊本大学薬学部運動場,熊本県熊本市中央区白山1-6-54,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.79352,130.72094,
43100,熊本県熊本市,124,八王寺中央公園,熊本県熊本市中央区八王寺町50,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.780935,130.71715,
43100,熊本県熊本市,125,白川橋上・下流左岸,熊本県熊本市中央区本山2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.791475,130.694759,
43100,熊本県熊本市,126,向山小学校,熊本県熊本市中央区本山4-5-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.789394,130.700032,
43100,熊本県熊本市,127,江南中学校,熊本県熊本市中央区本山町75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.787578,130.698705,
43100,熊本県熊本市,128,九州動物学院,熊本県熊本市中央区本荘6-16-34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.792251,130.704691,
43100,熊本県熊本市,129,本荘小学校,熊本県熊本市中央区本荘6-5-47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.792637,130.708133,
43100,熊本県熊本市,130,壼川小学校,熊本県熊本市中央区壼川1-4-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.81301698,130.710128,
43100,熊本県熊本市,131,画図小学校,熊本県熊本市東区下江津8-1-6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.767193,130.739992,
43100,熊本県熊本市,132,岡耳鼻咽喉科医院,熊本県熊本市東区花立2-16-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.777952,130.775935,
43100,熊本県熊本市,133,桜木小学校,熊本県熊本市東区花立2-23-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.781405,130.776701,
43100,熊本県熊本市,134,家族葬のファミーユ（花立ホール）,熊本県熊本市東区花立6-1-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.789212,130.774766,
43100,熊本県熊本市,135,環境総合センター,熊本県熊本市東区画図町所島404-1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,32.76411077,130.7344769,
43100,熊本県熊本市,136,錦ケ丘中学校,熊本県熊本市東区錦ケ丘22-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.79085028,130.757078,
43100,熊本県熊本市,137,錦ケ丘公園,熊本県熊本市東区錦ケ丘8,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.79161398,130.753283,
43100,熊本県熊本市,138,東部公民館,熊本県熊本市東区錦ヶ丘1-1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,32.788377,130.753631,
43100,熊本県熊本市,139,熊本県立大学,熊本県熊本市東区月出3-1-100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.805994,130.766339,
43100,熊本県熊本市,140,月出小学校,熊本県熊本市東区月出6-2-40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.805075,130.770825,
43100,熊本県熊本市,141,熊本マリスト学園,熊本県熊本市東区健軍2-11-54,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.783309,130.750479,
43100,熊本県熊本市,142,家族葬のファミーユ（神水斎場）,熊本県熊本市東区健軍2-21-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.78224,130.75348,
